timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560681685883,2741,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-1,text,true,,8551,117,3,3,http://blazedemo.com//,2739,0,2248
1560681686765,2119,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-2,text,true,,8551,117,4,4,http://blazedemo.com//,2119,0,1845
1560681687768,1149,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-3,text,true,,8550,117,4,4,http://blazedemo.com//,1149,0,843
1560681688769,536,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-4,text,true,,8551,117,4,4,http://blazedemo.com//,535,0,258
1560681689766,553,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-5,text,true,,8551,117,5,5,http://blazedemo.com//,551,0,267
1560681690768,592,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-6,text,true,,8551,117,6,6,http://blazedemo.com//,592,0,269
1560681691766,622,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-7,text,true,,8551,117,7,7,http://blazedemo.com//,621,0,292
1560681692767,564,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-8,text,true,,8551,117,8,8,http://blazedemo.com//,563,0,277
1560681693763,551,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-9,text,true,,8551,117,9,9,http://blazedemo.com//,551,0,267
1560681694767,543,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-10,text,true,,8551,117,10,10,http://blazedemo.com//,543,0,257
1560681695768,529,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-11,text,true,,8550,117,11,11,http://blazedemo.com//,529,0,260
1560681696765,584,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-12,text,true,,8550,117,12,12,http://blazedemo.com//,584,0,287
1560681697766,662,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-13,text,true,,8550,117,13,13,http://blazedemo.com//,662,0,354
1560681698765,531,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-14,text,true,,8550,117,14,14,http://blazedemo.com//,529,0,258
1560681699766,551,Landing page,200,OK,bzm - Arrivals Thread Group - Limitation-ThreadStarter 1-15,text,true,,8550,117,15,15,http://blazedemo.com//,551,0,271
