timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560681295072,585,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,584,0,346
1560681295983,437,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-2,text,true,,8550,117,2,2,http://blazedemo.com//,437,0,211
1560681296981,446,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-3,text,true,,8550,117,3,3,http://blazedemo.com//,445,0,213
1560681297981,470,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-4,text,true,,8550,117,4,4,http://blazedemo.com//,469,0,231
1560681298981,474,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-5,text,true,,8550,117,5,5,http://blazedemo.com//,473,0,260
1560681299981,432,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-6,text,true,,8550,117,6,6,http://blazedemo.com//,432,0,211
1560681300981,443,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-7,text,true,,8550,117,7,7,http://blazedemo.com//,443,0,227
1560681301980,477,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-8,text,true,,8550,117,8,8,http://blazedemo.com//,476,0,232
1560681302981,500,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-9,text,true,,8550,117,9,9,http://blazedemo.com//,500,0,226
1560681303978,468,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-10,text,true,,8550,117,10,10,http://blazedemo.com//,468,0,240
1560681304980,469,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-11,text,true,,8550,117,11,11,http://blazedemo.com//,469,0,231
1560681305978,463,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-12,text,true,,8550,117,12,12,http://blazedemo.com//,463,0,228
1560681306982,458,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-13,text,true,,8550,117,13,13,http://blazedemo.com//,458,0,224
1560681307981,727,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-14,text,true,,8550,117,14,14,http://blazedemo.com//,727,0,497
1560681308980,446,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-15,text,true,,8550,117,15,15,http://blazedemo.com//,446,0,216
1560681309983,422,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-16,text,true,,8550,117,16,16,http://blazedemo.com//,422,0,205
1560681310981,441,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-17,text,true,,8550,117,17,17,http://blazedemo.com//,441,0,214
1560681311981,464,Landing page,200,OK,bzm - Arrivals Thread Group - Timer Affection-ThreadStarter 1-18,text,true,,8550,117,18,18,http://blazedemo.com//,464,0,229
