timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560682281354,1903,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8551,117,1,1,http://blazedemo.com//,1902,0,1646
1560682283272,237,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,237,0,0
1560682283529,482,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10545,290,1,1,http://blazedemo.com//purchase.php,482,0,230
1560682287252,447,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8551,117,1,1,http://blazedemo.com//,446,0,217
1560682287711,253,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11186,247,1,1,http://blazedemo.com//reserve.php,253,0,0
1560682287976,235,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10552,296,1,1,http://blazedemo.com//purchase.php,235,0,0
1560682292391,1337,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,8550,117,2,2,http://blazedemo.com//,1337,0,1079
1560682293740,231,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,11186,247,2,2,http://blazedemo.com//reserve.php,230,0,0
1560682293986,228,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,10547,291,2,2,http://blazedemo.com//purchase.php,227,0,0
1560682290103,4429,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,2,2,http://blazedemo.com//,3901,0,826
1560682294360,481,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,8551,117,2,2,http://blazedemo.com//,481,0,224
1560682294544,453,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11186,247,2,2,http://blazedemo.com//reserve.php,453,0,219
1560682294852,347,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,11185,247,2,2,http://blazedemo.com//reserve.php,347,0,0
1560682295009,261,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10549,294,2,2,http://blazedemo.com//purchase.php,260,0,0
1560682295212,298,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,10552,297,1,1,http://blazedemo.com//purchase.php,297,0,0
1560682296120,466,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,466,0,227
1560682296597,240,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,239,0,0
1560682296848,243,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10544,289,1,1,http://blazedemo.com//purchase.php,236,0,0
1560682297731,463,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,459,0,230
1560682298205,315,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,226,0,0
1560682298532,1034,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10546,291,2,2,http://blazedemo.com//purchase.php,1034,0,0
1560682299223,428,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,8550,117,1,1,http://blazedemo.com//,427,0,214
1560682299662,223,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,215,0,0
1560682299897,217,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,10552,297,1,1,http://blazedemo.com//purchase.php,215,0,0
1560682300621,464,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,463,0,227
1560682301096,244,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11186,247,1,1,http://blazedemo.com//reserve.php,244,0,0
1560682301351,237,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10550,295,1,1,http://blazedemo.com//purchase.php,236,0,0
1560682301940,490,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,490,0,256
1560682302441,253,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,253,0,0
1560682302707,242,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10550,295,1,1,http://blazedemo.com//purchase.php,241,0,0
1560682303190,446,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,446,0,219
1560682303649,292,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,291,0,0
1560682303952,232,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10549,294,1,1,http://blazedemo.com//purchase.php,232,0,0
1560682304384,461,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,460,0,227
1560682304858,237,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,237,0,0
1560682305108,247,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10549,294,1,1,http://blazedemo.com//purchase.php,247,0,0
1560682305530,450,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,450,0,219
1560682305992,230,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,230,0,0
1560682306234,230,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10546,291,1,1,http://blazedemo.com//purchase.php,229,0,0
1560682306628,479,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,468,0,230
1560682307117,242,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,242,0,0
1560682307370,232,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10551,295,1,1,http://blazedemo.com//purchase.php,232,0,0
1560682307693,473,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,473,0,232
1560682308179,242,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,242,0,0
1560682308435,239,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10550,295,1,1,http://blazedemo.com//purchase.php,239,0,0
1560682308713,467,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,467,0,239
1560682309191,380,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,380,0,0
1560682309582,288,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10549,294,2,2,http://blazedemo.com//purchase.php,288,0,0
1560682309711,654,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,8550,117,1,1,http://blazedemo.com//,654,0,383
1560682310376,248,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,248,0,0
1560682310635,241,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,10551,296,2,2,http://blazedemo.com//purchase.php,241,0,0
1560682310673,490,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8550,117,1,1,http://blazedemo.com//,490,0,224
1560682311175,238,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,238,0,0
1560682311426,242,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,10552,296,2,2,http://blazedemo.com//purchase.php,242,0,0
1560682311610,461,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,8550,117,1,1,http://blazedemo.com//,447,0,225
1560682312083,225,Search,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,11185,247,1,1,http://blazedemo.com//reserve.php,225,0,0
1560682312320,232,Purchase ticket,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-2,text,true,,10549,294,2,2,http://blazedemo.com//purchase.php,231,0,0
1560682312527,456,Landing page,200,OK,bzm - Free-Form Arrivals Thread Group-ThreadStarter 1-1,text,true,,8551,117,1,1,http://blazedemo.com//,456,0,223
