timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560776473792,652,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,1,1,http://blazedemo.com/,651,0,421
1560776474446,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,1,1,http://blazedemo.com/,465,0,225
1560776474913,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,2,2,http://blazedemo.com/,441,0,213
1560776474995,462,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,2,2,http://blazedemo.com/,461,0,222
1560776475355,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,2,2,http://blazedemo.com/,440,0,212
1560776475458,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,2,2,http://blazedemo.com/,446,0,215
1560776475797,463,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,3,3,http://blazedemo.com/,463,0,223
1560776475906,474,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,3,3,http://blazedemo.com/,473,0,229
1560776476197,464,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,3,3,http://blazedemo.com/,464,0,224
1560776476260,463,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,3,3,http://blazedemo.com/,462,0,223
1560776476380,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,3,3,http://blazedemo.com/,464,0,224
1560776476661,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,3,3,http://blazedemo.com/,444,0,215
1560776476723,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,3,3,http://blazedemo.com/,444,0,214
1560776476845,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,3,3,http://blazedemo.com/,446,0,215
1560776477106,469,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,4,4,http://blazedemo.com/,467,0,226
1560776477169,463,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,4,4,http://blazedemo.com/,461,0,223
1560776477293,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,4,4,http://blazedemo.com/,445,0,215
1560776477397,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,4,4,http://blazedemo.com/,443,0,213
1560776477575,464,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,4,4,http://blazedemo.com/,462,0,223
1560776477633,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8551,117,4,4,http://blazedemo.com/,464,0,222
1560776477741,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,4,4,http://blazedemo.com/,445,0,214
1560776477842,451,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,4,4,http://blazedemo.com/,448,0,217
1560776478039,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,4,4,http://blazedemo.com/,465,0,224
1560776478099,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,4,4,http://blazedemo.com/,441,0,213
1560776478188,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,5,5,http://blazedemo.com/,447,0,216
1560776478293,444,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,5,5,http://blazedemo.com/,443,0,214
1560776478504,460,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,5,5,http://blazedemo.com/,459,0,222
1560776478542,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,5,5,http://blazedemo.com/,445,0,215
1560776478601,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,5,5,http://blazedemo.com/,464,0,223
1560776478636,468,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,5,5,http://blazedemo.com/,467,0,225
1560776478737,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,5,5,http://blazedemo.com/,447,0,216
1560776478965,464,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,5,5,http://blazedemo.com/,463,0,223
1560776478989,460,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,5,5,http://blazedemo.com/,459,0,221
1560776479066,446,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,5,5,http://blazedemo.com/,444,0,213
1560776479104,456,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8551,117,5,5,http://blazedemo.com/,455,0,217
1560776479186,461,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,5,5,http://blazedemo.com/,460,0,222
1560776479430,444,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,6,6,http://blazedemo.com/,443,0,213
1560776479451,443,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,6,6,http://blazedemo.com/,441,0,213
1560776479513,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,6,6,http://blazedemo.com/,466,0,226
1560776479561,446,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,6,6,http://blazedemo.com/,445,0,214
1560776479647,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,6,6,http://blazedemo.com/,446,0,215
1560776479798,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,6,6,http://blazedemo.com/,466,0,225
1560776479875,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,6,6,http://blazedemo.com/,447,0,214
1560776479894,468,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,6,6,http://blazedemo.com/,467,0,226
1560776479980,444,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,6,6,http://blazedemo.com/,442,0,213
1560776480007,443,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,6,6,http://blazedemo.com/,442,0,213
1560776480095,464,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,6,6,http://blazedemo.com/,462,0,224
1560776480265,468,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8551,117,6,6,http://blazedemo.com/,466,0,225
1560776480323,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,6,6,http://blazedemo.com/,441,0,213
1560776480362,443,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,6,6,http://blazedemo.com/,442,0,213
1560776480424,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,6,6,http://blazedemo.com/,444,0,214
1560776480451,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,6,6,http://blazedemo.com/,443,0,214
1560776480559,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,7,7,http://blazedemo.com/,447,0,216
1560776480733,443,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,7,7,http://blazedemo.com/,442,0,213
1560776480765,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,7,7,http://blazedemo.com/,465,0,224
1560776480805,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,7,7,http://blazedemo.com/,466,0,224
1560776480869,450,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,7,7,http://blazedemo.com/,448,0,216
1560776480896,464,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,7,7,http://blazedemo.com/,462,0,224
1560776480997,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-7,text,true,,8550,117,7,7,http://blazedemo.com/,444,0,214
1560776481007,464,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,7,7,http://blazedemo.com/,463,0,224
1560776481176,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,7,7,http://blazedemo.com/,464,0,224
1560776481231,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,7,7,http://blazedemo.com/,465,0,226
1560776481273,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,7,7,http://blazedemo.com/,446,0,215
1560776481319,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,7,7,http://blazedemo.com/,465,0,224
1560776481360,463,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,7,7,http://blazedemo.com/,462,0,223
1560776481442,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-7,text,true,,8550,117,7,7,http://blazedemo.com/,466,0,225
1560776481471,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,7,7,http://blazedemo.com/,465,0,226
1560776481642,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,7,7,http://blazedemo.com/,464,0,224
1560776481697,450,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,7,7,http://blazedemo.com/,449,0,217
1560776481721,443,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,7,7,http://blazedemo.com/,442,0,213
1560776481786,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,8,8,http://blazedemo.com/,445,0,215
1560776481823,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,8,8,http://blazedemo.com/,440,0,212
1560776481909,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-7,text,true,,8550,117,8,8,http://blazedemo.com/,444,0,214
1560776481938,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,8,8,http://blazedemo.com/,465,0,226
1560776482107,470,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,8,8,http://blazedemo.com/,468,0,226
1560776482147,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,8,8,http://blazedemo.com/,465,0,225
1560776482164,469,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,8,8,http://blazedemo.com/,467,0,226
1560776482196,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-8,text,true,,8550,117,8,8,http://blazedemo.com/,466,0,225
1560776482234,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,8,8,http://blazedemo.com/,464,0,224
1560776482265,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,8,8,http://blazedemo.com/,447,0,216
1560776482354,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-7,text,true,,8550,117,8,8,http://blazedemo.com/,465,0,225
1560776482405,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,8,8,http://blazedemo.com/,464,0,227
1560776482577,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,8,8,http://blazedemo.com/,447,0,216
1560776482614,461,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,8,8,http://blazedemo.com/,460,0,222
1560776482633,449,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,8,8,http://blazedemo.com/,446,0,216
1560776482663,441,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-8,text,true,,8550,117,8,8,http://blazedemo.com/,439,0,212
1560776482700,467,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,8,8,http://blazedemo.com/,465,0,224
1560776482713,462,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,8,8,http://blazedemo.com/,460,0,222
1560776482821,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-7,text,true,,8550,117,8,8,http://blazedemo.com/,441,0,212
1560776482871,447,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,8,8,http://blazedemo.com/,445,0,215
1560776483025,466,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,9,9,http://blazedemo.com/,465,0,225
1560776483075,442,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,9,9,http://blazedemo.com/,441,0,213
1560776483082,443,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-1,text,true,,8550,117,9,9,http://blazedemo.com/,441,0,212
1560776483104,448,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-8,text,true,,8550,117,9,9,http://blazedemo.com/,447,0,215
1560776483175,455,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-2,text,true,,8550,117,9,9,http://blazedemo.com/,453,0,216
1560776483167,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-5,text,true,,8550,117,9,9,http://blazedemo.com/,463,0,222
1560776483263,451,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-7,text,true,,8550,117,9,9,http://blazedemo.com/,449,0,216
1560776483319,465,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-4,text,true,,8550,117,9,9,http://blazedemo.com/,464,0,225
1560776483397,461,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-9,text,true,,8550,117,9,9,http://blazedemo.com/,460,0,222
1560776483491,445,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-6,text,true,,8550,117,9,9,http://blazedemo.com/,444,0,214
1560776483517,463,BlazeDemo Homepage,200,OK,Thread Group - with ramp-up 1-3,text,true,,8550,117,9,9,http://blazedemo.com/,462,0,222
